id,label
936,14
937,11
938,10
939,17
940,4
941,18
942,0
943,7
944,16
945,10
946,14
947,1
948,13
949,6
950,16
951,3
952,5
953,7
954,12
955,8
956,18
957,4
958,3
959,18
960,8
961,18
962,9
963,17
964,19
965,13
966,19
967,4
968,18
969,8
970,15
971,9
